"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "TypeScript JSX", "XML", "Markdown", "CSS", "comment", "blank", "total"
"e:\tube-flix\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\tube-flix\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 21, 0, 0, 14, 35
"e:\tube-flix\app\(movie)\favourite\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"e:\tube-flix\app\(movie)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"e:\tube-flix\app\(movie)\movies\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 33
"e:\tube-flix\app\(movie)\movies\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"e:\tube-flix\app\(movie)\movies\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"e:\tube-flix\app\(movie)\movies\movie\[id]\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 2, 33
"e:\tube-flix\app\(movie)\movies\movie\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 6, 40
"e:\tube-flix\app\(movie)\movies\movie\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"e:\tube-flix\app\(movie)\movies\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 7, 50
"e:\tube-flix\app\(movie)\search\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"e:\tube-flix\app\(movie)\search\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 90, 0, 0, 0, 0, 5, 95
"e:\tube-flix\app\(movie)\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"e:\tube-flix\app\api\Search\route.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"e:\tube-flix\app\api\movies\movie\[id]\route.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"e:\tube-flix\app\api\movies\route.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 1, 3, 25
"e:\tube-flix\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 27, 1, 7, 35
"e:\tube-flix\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
