Date : 2023-09-29 22:17:54
Directory : e:\tube-flix
Total : 53 files,  6005 codes, 27 comments, 185 blanks, all 6217 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |      4,616 |          0 |          2 |      4,618 |
| TypeScript JSX     |         30 |        986 |         19 |        120 |      1,125 |
| TypeScript         |         11 |        296 |          2 |         36 |        334 |
| JSON with Comments |          2 |         32 |          4 |          2 |         38 |
| CSS                |          1 |         27 |          1 |          7 |         35 |
| Markdown           |          1 |         21 |          0 |         14 |         35 |
| XML                |          4 |         15 |          0 |          1 |         16 |
| JavaScript         |          2 |         12 |          1 |          3 |         16 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                 |         53 |      6,005 |         27 |        185 |      6,217 |
| . (Files)                                                                         |          8 |      4,714 |          6 |         23 |      4,743 |
| app                                                                               |         18 |        436 |          2 |         66 |        504 |
| app (Files)                                                                       |          3 |         64 |          1 |         14 |         79 |
| app\(movie)                                                                       |         12 |        306 |          0 |         40 |        346 |
| app\(movie) (Files)                                                               |          1 |         15 |          0 |          3 |         18 |
| app\(movie)\favourite                                                             |          1 |          4 |          0 |          2 |          6 |
| app\(movie)\movies                                                                |          7 |        181 |          0 |         26 |        207 |
| app\(movie)\movies (Files)                                                        |          4 |        105 |          0 |         16 |        121 |
| app\(movie)\movies\movie                                                          |          3 |         76 |          0 |         10 |         86 |
| app\(movie)\movies\movie (Files)                                                  |          1 |         11 |          0 |          2 |         13 |
| app\(movie)\movies\movie\[id]                                                     |          2 |         65 |          0 |          8 |         73 |
| app\(movie)\search                                                                |          2 |        102 |          0 |          7 |        109 |
| app\(movie)\settings                                                              |          1 |          4 |          0 |          2 |          6 |
| app\api                                                                           |          3 |         66 |          1 |         12 |         79 |
| app\api\Search                                                                    |          1 |         22 |          0 |          4 |         26 |
| app\api\movies                                                                    |          2 |         44 |          1 |          8 |         53 |
| app\api\movies (Files)                                                            |          1 |         21 |          1 |          3 |         25 |
| app\api\movies\movie                                                              |          1 |         23 |          0 |          5 |         28 |
| app\api\movies\movie\[id]                                                         |          1 |         23 |          0 |          5 |         28 |
| components                                                                        |         15 |        614 |         19 |         68 |        701 |
| components\Card                                                                   |          1 |         85 |          1 |          6 |         92 |
| components\Details                                                                |          1 |        132 |          0 |          6 |        138 |
| components\Navbar                                                                 |          1 |         26 |         15 |          3 |         44 |
| components\VideoFrame                                                             |          1 |         22 |          0 |          5 |         27 |
| components\searchBar                                                              |          1 |         30 |          0 |          3 |         33 |
| components\shared                                                                 |          8 |        229 |          3 |         39 |        271 |
| components\shared\Buttons                                                         |          2 |         29 |          0 |          7 |         36 |
| components\shared\Date                                                            |          1 |         16 |          0 |          5 |         21 |
| components\shared\Pagination                                                      |          1 |        128 |          1 |         14 |        143 |
| components\shared\Skeleton                                                        |          4 |         56 |          2 |         13 |         71 |
| components\shared\Skeleton\CardSkeleton                                           |          1 |         12 |          0 |          2 |         14 |
| components\shared\Skeleton\ImageSkeleton                                          |          1 |          8 |          0 |          2 |         10 |
| components\shared\Skeleton\SkeletonGrid                                           |          1 |         16 |          0 |          4 |         20 |
| components\shared\Skeleton\SkeletonPagination                                     |          1 |         20 |          2 |          5 |         27 |
| components\svgs                                                                   |          2 |         90 |          0 |          6 |         96 |
| data                                                                              |          1 |         75 |          0 |          3 |         78 |
| hooks                                                                             |          2 |         23 |          0 |          9 |         32 |
| lib                                                                               |          3 |         32 |          0 |          5 |         37 |
| public                                                                            |          4 |         15 |          0 |          1 |         16 |
| store                                                                             |          1 |         18 |          0 |          2 |         20 |
| types                                                                             |          1 |         78 |          0 |          8 |         86 |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                          | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\tube-flix\.eslintrc.json                                                       | JSON with Comments |          3 |          0 |          1 |          4 |
| e:\tube-flix\README.md                                                            | Markdown           |         21 |          0 |         14 |         35 |
| e:\tube-flix\app\(movie)\favourite\page.tsx                                       | TypeScript JSX     |          4 |          0 |          2 |          6 |
| e:\tube-flix\app\(movie)\layout.tsx                                               | TypeScript JSX     |         15 |          0 |          3 |         18 |
| e:\tube-flix\app\(movie)\movies\error.tsx                                         | TypeScript JSX     |         30 |          0 |          3 |         33 |
| e:\tube-flix\app\(movie)\movies\layout.tsx                                        | TypeScript JSX     |         18 |          0 |          4 |         22 |
| e:\tube-flix\app\(movie)\movies\loading.tsx                                       | TypeScript JSX     |         14 |          0 |          2 |         16 |
| e:\tube-flix\app\(movie)\movies\movie\[id]\loading.tsx                            | TypeScript JSX     |         31 |          0 |          2 |         33 |
| e:\tube-flix\app\(movie)\movies\movie\[id]\page.tsx                               | TypeScript JSX     |         34 |          0 |          6 |         40 |
| e:\tube-flix\app\(movie)\movies\movie\page.tsx                                    | TypeScript JSX     |         11 |          0 |          2 |         13 |
